UniprotID,chembl_targets,type
Q06187,CHEMBL5251,SINGLE PROTEIN
Q06187,CHEMBL4296642,PROTEIN FAMILY
Q06418,CHEMBL5314,SINGLE PROTEIN
Q07002,CHEMBL5316,SINGLE PROTEIN
Q07002,CHEMBL3559691,PROTEIN FAMILY
Q07002,CHEMBL4106161,PROTEIN COMPLEX
Q07912,CHEMBL4599,SINGLE PROTEIN
Q08345,CHEMBL5319,SINGLE PROTEIN
Q08881,CHEMBL2959,SINGLE PROTEIN
Q08881,CHEMBL4296642,PROTEIN FAMILY
Q09013,CHEMBL5320,SINGLE PROTEIN
Q12851,CHEMBL5330,SINGLE PROTEIN
Q12852,CHEMBL1908389,SINGLE PROTEIN
Q12866,CHEMBL5331,SINGLE PROTEIN
Q12866,CHEMBL3137284,CHIMERIC PROTEIN
Q13043,CHEMBL4598,SINGLE PROTEIN
Q13131,CHEMBL4045,SINGLE PROTEIN
Q13131,CHEMBL2096907,PROTEIN COMPLEX GROUP
Q13131,CHEMBL2111345,PROTEIN COMPLEX
Q13131,CHEMBL3038451,PROTEIN COMPLEX
Q13131,CHEMBL3038452,PROTEIN COMPLEX
Q13131,CHEMBL3038453,PROTEIN COMPLEX
Q13131,CHEMBL3038454,PROTEIN COMPLEX
Q13131,CHEMBL4106162,PROTEIN COMPLEX
Q13131,CHEMBL4106163,PROTEIN COMPLEX
Q13153,CHEMBL4600,SINGLE PROTEIN
Q13153,CHEMBL4296113,PROTEIN COMPLEX
Q13153,CHEMBL3885636,PROTEIN FAMILY
Q13153,CHEMBL3885637,PROTEIN FAMILY
Q13163,CHEMBL4948,SINGLE PROTEIN
Q13164,CHEMBL5332,SINGLE PROTEIN
Q13177,CHEMBL4487,SINGLE PROTEIN
Q13177,CHEMBL3885636,PROTEIN FAMILY
Q13177,CHEMBL3885637,PROTEIN FAMILY
Q13188,CHEMBL4708,SINGLE PROTEIN
Q13233,CHEMBL3956,SINGLE PROTEIN
Q13237,CHEMBL2896,SINGLE PROTEIN
Q13263,CHEMBL3769297,SINGLE PROTEIN
Q13315,CHEMBL3797,SINGLE PROTEIN
Q13315,CHEMBL3885635,PROTEIN FAMILY
Q13418,CHEMBL5247,SINGLE PROTEIN
Q13464,CHEMBL3231,SINGLE PROTEIN
Q13464,CHEMBL2111459,PROTEIN FAMILY
Q13470,CHEMBL5334,SINGLE PROTEIN
Q13523,CHEMBL1908382,SINGLE PROTEIN
Q13535,CHEMBL5024,SINGLE PROTEIN
Q13535,CHEMBL4106138,PROTEIN COMPLEX
Q13535,CHEMBL3885635,PROTEIN FAMILY
Q13546,CHEMBL5464,SINGLE PROTEIN
Q13546,CHEMBL3885602,PROTEIN FAMILY
Q13554,CHEMBL4121,SINGLE PROTEIN
Q13554,CHEMBL2097164,PROTEIN FAMILY
Q13555,CHEMBL3829,SINGLE PROTEIN
Q13555,CHEMBL2097164,PROTEIN FAMILY
Q13557,CHEMBL2097164,PROTEIN FAMILY
Q13557,CHEMBL2801,SINGLE PROTEIN
Q13627,CHEMBL2292,SINGLE PROTEIN
Q13705,CHEMBL5466,SINGLE PROTEIN
Q13873,CHEMBL5467,SINGLE PROTEIN
Q13882,CHEMBL4601,SINGLE PROTEIN
Q13976,CHEMBL4273,SINGLE PROTEIN
Q14004,CHEMBL1795192,SINGLE PROTEIN
Q14004,CHEMBL4296067,PROTEIN COMPLEX
Q14004,CHEMBL3559691,PROTEIN FAMILY
Q14012,CHEMBL2493,SINGLE PROTEIN
Q14164,CHEMBL3529,SINGLE PROTEIN
Q14164,CHEMBL3038486,PROTEIN COMPLEX
Q14164,CHEMBL4296146,PROTEIN-PROTEIN INTERACTION
Q14289,CHEMBL5469,SINGLE PROTEIN
Q14680,CHEMBL4578,SINGLE PROTEIN
Q15059,CHEMBL1795186,SINGLE PROTEIN
Q15059,CHEMBL4296614,PROTEIN FAMILY
Q15059,CHEMBL4296135,PROTEIN-PROTEIN INTERACTION
Q15059,CHEMBL4296144,PROTEIN-PROTEIN INTERACTION
Q15059,CHEMBL4296150,PROTEIN-PROTEIN INTERACTION
Q15118,CHEMBL4766,SINGLE PROTEIN
Q15118,CHEMBL2096665,PROTEIN FAMILY
Q15118,CHEMBL3885616,PROTEIN FAMILY
Q15119,CHEMBL3861,SINGLE PROTEIN
Q15119,CHEMBL2096665,PROTEIN FAMILY
Q15120,CHEMBL3893,SINGLE PROTEIN
Q15120,CHEMBL2096665,PROTEIN FAMILY
Q15131,CHEMBL1795191,SINGLE PROTEIN
Q15131,CHEMBL3559691,PROTEIN FAMILY
Q15139,CHEMBL3863,SINGLE PROTEIN
Q15139,CHEMBL2093867,PROTEIN FAMILY
Q15139,CHEMBL2096620,PROTEIN FAMILY
Q15208,CHEMBL1075155,SINGLE PROTEIN
Q15303,CHEMBL3009,SINGLE PROTEIN
Q15303,CHEMBL2363049,PROTEIN FAMILY
Q15349,CHEMBL3906,SINGLE PROTEIN
Q15349,CHEMBL3832633,PROTEIN FAMILY
Q15375,CHEMBL4602,SINGLE PROTEIN
Q15375,CHEMBL2363043,PROTEIN FAMILY
Q15418,CHEMBL2553,SINGLE PROTEIN
Q15418,CHEMBL4106179,PROTEIN FAMILY
Q15418,CHEMBL3832633,PROTEIN FAMILY
Q15569,CHEMBL5604,SINGLE PROTEIN
Q15746,CHEMBL2428,SINGLE PROTEIN
Q15759,CHEMBL3961,SINGLE PROTEIN
Q15759,CHEMBL2094115,PROTEIN FAMILY
Q15759,CHEMBL4106180,PROTEIN FAMILY
Q15831,CHEMBL5606,SINGLE PROTEIN
Q15831,CHEMBL3885534,PROTEIN COMPLEX
Q15835,CHEMBL5607,SINGLE PROTEIN
Q16288,CHEMBL5608,SINGLE PROTEIN
Q16288,CHEMBL3559684,PROTEIN FAMILY
Q16512,CHEMBL3384,SINGLE PROTEIN
Q16513,CHEMBL3032,SINGLE PROTEIN
Q16539,CHEMBL260,SINGLE PROTEIN
Q16539,CHEMBL2094115,PROTEIN FAMILY
Q16539,CHEMBL4106180,PROTEIN FAMILY
Q16566,CHEMBL2494,SINGLE PROTEIN
Q16584,CHEMBL2708,SINGLE PROTEIN
Q16620,CHEMBL4898,SINGLE PROTEIN
Q16620,CHEMBL3559684,PROTEIN FAMILY
Q16644,CHEMBL4670,SINGLE PROTEIN
Q16654,CHEMBL4141,SINGLE PROTEIN
Q16654,CHEMBL2096665,PROTEIN FAMILY
Q16659,CHEMBL5121,SINGLE PROTEIN
Q16816,CHEMBL4004,SINGLE PROTEIN
Q16816,CHEMBL2111324,PROTEIN COMPLEX GROUP
Q16832,CHEMBL5122,SINGLE PROTEIN
Q2M2I8,CHEMBL3830,SINGLE PROTEIN
Q32MK0,CHEMBL4627,SINGLE PROTEIN
Q3MIX3,CHEMBL4105886,SINGLE PROTEIN
Q52WX2,CHEMBL1163129,SINGLE PROTEIN
Q56UN5,CHEMBL6191,SINGLE PROTEIN
Q58A45,CHEMBL4105985,SINGLE PROTEIN
Q58F21,CHEMBL1795185,SINGLE PROTEIN
Q58F21,CHEMBL4296614,PROTEIN FAMILY
Q59H18,CHEMBL5260,SINGLE PROTEIN
Q5JZY3,CHEMBL2363043,PROTEIN FAMILY
Q5S007,CHEMBL1075104,SINGLE PROTEIN
Q5TCX8,CHEMBL3627584,SINGLE PROTEIN
Q5TCY1,CHEMBL1926492,SINGLE PROTEIN
Q5VT25,CHEMBL4516,SINGLE PROTEIN
Q6DT37,CHEMBL5615,SINGLE PROTEIN
Q6IQ55,CHEMBL3337327,SINGLE PROTEIN
Q6P0Q8,CHEMBL3038500,PROTEIN FAMILY
Q6P0Q8,CHEMBL2417355,SINGLE PROTEIN
Q6P2M8,CHEMBL3627592,SINGLE PROTEIN
Q6P3R8,CHEMBL5044,SINGLE PROTEIN
Q6P5Z2,CHEMBL3627581,SINGLE PROTEIN
Q6PHR2,CHEMBL5047,SINGLE PROTEIN
Q6SA08,CHEMBL4295868,SINGLE PROTEIN
Q6VAB6,CHEMBL3627583,SINGLE PROTEIN
Q6XUX3,CHEMBL1908386,SINGLE PROTEIN
Q6ZN16,CHEMBL1163127,SINGLE PROTEIN
Q6ZWH5,CHEMBL3108655,SINGLE PROTEIN
Q76MJ5,CHEMBL4105932,SINGLE PROTEIN
Q7KZI7,CHEMBL3831,SINGLE PROTEIN
Q7L7X3,CHEMBL5261,SINGLE PROTEIN
Q7RTN6,CHEMBL1795198,SINGLE PROTEIN
Q7RTN6,CHEMBL3885534,PROTEIN COMPLEX
Q86SG6,CHEMBL2417353,SINGLE PROTEIN
Q86TW2,CHEMBL4105885,SINGLE PROTEIN
Q86UE8,CHEMBL5404,SINGLE PROTEIN
Q86UX6,CHEMBL5405,SINGLE PROTEIN
Q86V86,CHEMBL5407,SINGLE PROTEIN
Q86V86,CHEMBL3559682,PROTEIN FAMILY
Q86Y07,CHEMBL1649059,SINGLE PROTEIN
Q86YV6,CHEMBL5426,SINGLE PROTEIN
Q86Z02,CHEMBL5427,SINGLE PROTEIN
Q8IU85,CHEMBL5073,SINGLE PROTEIN
Q8IV63,CHEMBL3430761,SINGLE PROTEIN
Q8IVH8,CHEMBL5432,SINGLE PROTEIN
Q8IVT5,CHEMBL1938215,SINGLE PROTEIN
Q8IVW4,CHEMBL1163117,SINGLE PROTEIN
Q8IW41,CHEMBL3094,SINGLE PROTEIN
Q8IWQ3,CHEMBL4574,SINGLE PROTEIN
Q8IY84,CHEMBL3542,SINGLE PROTEIN
Q8IYT8,CHEMBL5435,SINGLE PROTEIN
Q8IZL9,CHEMBL3559691,PROTEIN FAMILY
Q8IZL9,CHEMBL3559690,SINGLE PROTEIN
Q8IZX4,CHEMBL3108641,SINGLE PROTEIN
Q8N4C8,CHEMBL5518,SINGLE PROTEIN
Q8N4C8,CHEMBL3430890,PROTEIN COMPLEX
Q8N568,CHEMBL5519,SINGLE PROTEIN
Q8N5S9,CHEMBL5256,SINGLE PROTEIN
Q8N752,CHEMBL5520,SINGLE PROTEIN
Q8NB16,CHEMBL1938217,SINGLE PROTEIN
Q8NE63,CHEMBL1075167,SINGLE PROTEIN
Q8NEB9,CHEMBL1075165,SINGLE PROTEIN
Q8NER5,CHEMBL5642,SINGLE PROTEIN
Q8NEV1,CHEMBL3832943,PROTEIN FAMILY
Q8NEV4,CHEMBL5546,SINGLE PROTEIN
Q8NFD2,CHEMBL5547,SINGLE PROTEIN
Q8NG66,CHEMBL5638,SINGLE PROTEIN
Q8NI60,CHEMBL5550,SINGLE PROTEIN
Q8TBX8,CHEMBL1770034,SINGLE PROTEIN
Q8TCG2,CHEMBL3220,SINGLE PROTEIN
Q8TCG2,CHEMBL2096619,PROTEIN FAMILY
Q8TD08,CHEMBL5198,SINGLE PROTEIN
Q8TD19,CHEMBL5257,SINGLE PROTEIN
Q8TDC3,CHEMBL5650,SINGLE PROTEIN
Q8TDR2,CHEMBL5651,SINGLE PROTEIN
Q8TDX7,CHEMBL4849,SINGLE PROTEIN
Q8TF76,CHEMBL1075163,SINGLE PROTEIN
Q8WTQ7,CHEMBL1075133,SINGLE PROTEIN
Q8WU08,CHEMBL6150,SINGLE PROTEIN
Q8WXR4,CHEMBL5654,SINGLE PROTEIN
Q92630,CHEMBL4376,SINGLE PROTEIN
Q92772,CHEMBL5728,SINGLE PROTEIN
Q92918,CHEMBL5749,SINGLE PROTEIN
Q96BR1,CHEMBL6186,SINGLE PROTEIN
Q96D53,CHEMBL5753,SINGLE PROTEIN
Q96GD4,CHEMBL2185,SINGLE PROTEIN
Q96GD4,CHEMBL3430907,PROTEIN COMPLEX
Q96GD4,CHEMBL3430911,PROTEIN FAMILY
Q96GD4,CHEMBL3883303,PROTEIN FAMILY
Q96GX5,CHEMBL4105826,SINGLE PROTEIN
Q96J92,CHEMBL1795196,SINGLE PROTEIN
Q96KB5,CHEMBL4896,SINGLE PROTEIN
Q96L34,CHEMBL5754,SINGLE PROTEIN
Q96NX5,CHEMBL5258,SINGLE PROTEIN
Q96PF2,CHEMBL6014,SINGLE PROTEIN
Q96PN8,CHEMBL3414416,SINGLE PROTEIN
Q96PY6,CHEMBL5855,SINGLE PROTEIN
Q96Q15,CHEMBL1795195,SINGLE PROTEIN
Q96Q40,CHEMBL5856,SINGLE PROTEIN
Q96Q40,CHEMBL3559691,PROTEIN FAMILY
Q96QT4,CHEMBL1250412,SINGLE PROTEIN
Q96RG2,CHEMBL6054,SINGLE PROTEIN
Q96RR4,CHEMBL5284,SINGLE PROTEIN
Q96S38,CHEMBL1795193,SINGLE PROTEIN
Q96S44,CHEMBL1938223,SINGLE PROTEIN
Q96S53,CHEMBL2069163,SINGLE PROTEIN
Q96SB4,CHEMBL4375,SINGLE PROTEIN
Q99558,CHEMBL5888,SINGLE PROTEIN
Q99570,CHEMBL2189144,SINGLE PROTEIN
Q99640,CHEMBL3984,SINGLE PROTEIN
Q99683,CHEMBL5285,SINGLE PROTEIN
Q99755,CHEMBL5969,SINGLE PROTEIN
Q99759,CHEMBL5970,SINGLE PROTEIN
Q99986,CHEMBL1293199,SINGLE PROTEIN
Q9BQI3,CHEMBL6029,SINGLE PROTEIN
Q9BRS2,CHEMBL5975,SINGLE PROTEIN
Q9BTU6,CHEMBL2251,SINGLE PROTEIN
Q9BTU6,CHEMBL2096619,PROTEIN FAMILY
Q9BUB5,CHEMBL4718,SINGLE PROTEIN
Q9BUB5,CHEMBL3883293,PROTEIN FAMILY
Q9BVS4,CHEMBL6000,SINGLE PROTEIN
Q9BWU1,CHEMBL6002,SINGLE PROTEIN
Q9BWU1,CHEMBL3559691,PROTEIN FAMILY
Q9BWU1,CHEMBL4296126,PROTEIN-PROTEIN INTERACTION
Q9BWU1,CHEMBL3885556,PROTEIN FAMILY
Q9BWU1,CHEMBL3883323,PROTEIN COMPLEX
Q9BX84,CHEMBL1628470,SINGLE PROTEIN
Q9BXA6,CHEMBL3627582,SINGLE PROTEIN
Q9BXA7,CHEMBL6003,SINGLE PROTEIN
Q9BXM7,CHEMBL3337330,SINGLE PROTEIN
Q9BXU1,CHEMBL6151,SINGLE PROTEIN
Q9BYP7,CHEMBL6055,SINGLE PROTEIN
Q9BYT3,CHEMBL6005,SINGLE PROTEIN
Q9BZL6,CHEMBL4900,SINGLE PROTEIN
Q9C098,CHEMBL6123,SINGLE PROTEIN
Q9C0K7,CHEMBL4105756,SINGLE PROTEIN
Q9H093,CHEMBL5698,SINGLE PROTEIN
Q9H0K1,CHEMBL5699,SINGLE PROTEIN
Q9H1R3,CHEMBL2777,SINGLE PROTEIN
Q9H2G2,CHEMBL4202,SINGLE PROTEIN
Q9H2K8,CHEMBL5701,SINGLE PROTEIN
Q9H2X6,CHEMBL4576,SINGLE PROTEIN
Q9H3Y6,CHEMBL5703,SINGLE PROTEIN
Q9H3Y6,CHEMBL2363074,PROTEIN FAMILY
Q9H422,CHEMBL4577,SINGLE PROTEIN
Q9H4A3,CHEMBL1075173,SINGLE PROTEIN
Q9H4B4,CHEMBL4897,SINGLE PROTEIN
Q9H792,CHEMBL3627585,SINGLE PROTEIN
Q9HAZ1,CHEMBL4203,SINGLE PROTEIN
Q9HAZ1,CHEMBL4106176,PROTEIN FAMILY
Q9HBH9,CHEMBL4204,SINGLE PROTEIN
Q9HBH9,CHEMBL3883293,PROTEIN FAMILY
Q9HBY8,CHEMBL5794,SINGLE PROTEIN
Q9HC98,CHEMBL4309,SINGLE PROTEIN
Q9HCP0,CHEMBL2426,SINGLE PROTEIN
Q9HCP0,CHEMBL2111458,PROTEIN FAMILY
Q9NQU5,CHEMBL4311,SINGLE PROTEIN
Q9NR20,CHEMBL1075115,SINGLE PROTEIN
Q9NRH2,CHEMBL1908384,SINGLE PROTEIN
Q9NRL2,CHEMBL4105737,SINGLE PROTEIN
Q9NRM7,CHEMBL5907,SINGLE PROTEIN
Q9NRP7,CHEMBL4312,SINGLE PROTEIN
Q9NSY1,CHEMBL4522,SINGLE PROTEIN
Q9NWZ3,CHEMBL3778,SINGLE PROTEIN
Q9NY57,CHEMBL5912,SINGLE PROTEIN
Q9NYL2,CHEMBL3886,SINGLE PROTEIN
Q9NYV4,CHEMBL3559691,PROTEIN FAMILY
Q9NYV4,CHEMBL3559692,SINGLE PROTEIN
Q9NYV4,CHEMBL4106169,PROTEIN COMPLEX
Q9NYY3,CHEMBL5938,SINGLE PROTEIN
Q9NZJ5,CHEMBL6030,SINGLE PROTEIN
Q9P0L2,CHEMBL5940,SINGLE PROTEIN
Q9P1W9,CHEMBL4523,SINGLE PROTEIN
Q9P1W9,CHEMBL3559682,PROTEIN FAMILY
Q9P286,CHEMBL4524,SINGLE PROTEIN
Q9P289,CHEMBL5941,SINGLE PROTEIN
Q9P2K8,CHEMBL5358,SINGLE PROTEIN
Q9UBE8,CHEMBL5364,SINGLE PROTEIN
Q9UBF8,CHEMBL3268,SINGLE PROTEIN
Q9UBF8,CHEMBL2096619,PROTEIN FAMILY
Q9UBS0,CHEMBL3111,SINGLE PROTEIN
Q9UBS0,CHEMBL2111330,PROTEIN COMPLEX
Q9UBS0,CHEMBL3832633,PROTEIN FAMILY
Q9UEE5,CHEMBL4525,SINGLE PROTEIN
Q9UEW8,CHEMBL1163108,SINGLE PROTEIN
Q9UF33,CHEMBL4526,SINGLE PROTEIN
Q9UF33,CHEMBL2363043,PROTEIN FAMILY
Q9UHD2,CHEMBL5408,SINGLE PROTEIN
Q9UHD2,CHEMBL3038486,PROTEIN COMPLEX
Q9UHD2,CHEMBL4296147,PROTEIN-PROTEIN INTERACTION
Q9UIG0,CHEMBL3588730,SINGLE PROTEIN
Q9UIK4,CHEMBL3123,SINGLE PROTEIN
Q9UK32,CHEMBL4924,SINGLE PROTEIN
Q9UK32,CHEMBL3832633,PROTEIN FAMILY
Q9UKE5,CHEMBL4527,SINGLE PROTEIN
Q9UKI8,CHEMBL5388,SINGLE PROTEIN
Q9UL54,CHEMBL1075195,SINGLE PROTEIN
Q9UM73,CHEMBL4247,SINGLE PROTEIN
Q9UM73,CHEMBL2111387,CHIMERIC PROTEIN
Q9UM73,CHEMBL4296165,PROTEIN-PROTEIN INTERACTION
Q9UM73,CHEMBL4296166,PROTEIN-PROTEIN INTERACTION
Q9UM73,CHEMBL3883330,CHIMERIC PROTEIN
Q9UPE1,CHEMBL5415,SINGLE PROTEIN
Q9UPN9,CHEMBL2176772,SINGLE PROTEIN
Q9UPZ9,CHEMBL1163126,SINGLE PROTEIN
Q9UQ07,CHEMBL4295983,SINGLE PROTEIN
Q9UQ88,CHEMBL5416,SINGLE PROTEIN
Q9UQB9,CHEMBL3935,SINGLE PROTEIN
Q9UQB9,CHEMBL3430911,PROTEIN FAMILY
Q9UQB9,CHEMBL4106141,PROTEIN COMPLEX
Q9UQM7,CHEMBL4147,SINGLE PROTEIN
Q9UQM7,CHEMBL2097164,PROTEIN FAMILY
Q9Y243,CHEMBL2111353,PROTEIN FAMILY
Q9Y243,CHEMBL4816,SINGLE PROTEIN
Q9Y2H1,CHEMBL4851,SINGLE PROTEIN
Q9Y2H9,CHEMBL1163128,SINGLE PROTEIN
Q9Y2H9,CHEMBL3038500,PROTEIN FAMILY
Q9Y2K2,CHEMBL6149,SINGLE PROTEIN
Q9Y2U5,CHEMBL5914,SINGLE PROTEIN
Q9Y3S1,CHEMBL5639,SINGLE PROTEIN
Q9Y463,CHEMBL5543,SINGLE PROTEIN
Q9Y4K4,CHEMBL4852,SINGLE PROTEIN
Q9Y572,CHEMBL1795199,SINGLE PROTEIN
Q9Y5P4,CHEMBL3399913,SINGLE PROTEIN
Q9Y5S2,CHEMBL5052,SINGLE PROTEIN
Q9Y616,CHEMBL5081,SINGLE PROTEIN
Q9Y6E0,CHEMBL5082,SINGLE PROTEIN
Q9Y6M4,CHEMBL5084,SINGLE PROTEIN
Q9Y6R4,CHEMBL4853,SINGLE PROTEIN
