UniprotID,chembl_targets,type
P04626,CHEMBL4106134,PROTEIN COMPLEX
P04629,CHEMBL2815,SINGLE PROTEIN
P04629,CHEMBL3559684,PROTEIN FAMILY
P04629,CHEMBL3883331,CHIMERIC PROTEIN
P05129,CHEMBL2938,SINGLE PROTEIN
P05129,CHEMBL2093867,PROTEIN FAMILY
P05129,CHEMBL2096620,PROTEIN FAMILY
P05771,CHEMBL3045,SINGLE PROTEIN
P05771,CHEMBL2093867,PROTEIN FAMILY
P05771,CHEMBL2096620,PROTEIN FAMILY
P05771,CHEMBL3137267,PROTEIN FAMILY
P06213,CHEMBL1981,SINGLE PROTEIN
P06239,CHEMBL258,SINGLE PROTEIN
P06239,CHEMBL2363074,PROTEIN FAMILY
P06241,CHEMBL1841,SINGLE PROTEIN
P06241,CHEMBL2363074,PROTEIN FAMILY
P06493,CHEMBL308,SINGLE PROTEIN
P06493,CHEMBL2094127,PROTEIN COMPLEX
P06493,CHEMBL1907602,PROTEIN COMPLEX
P06493,CHEMBL4296065,PROTEIN COMPLEX
P06493,CHEMBL4296066,PROTEIN COMPLEX
P06493,CHEMBL3038467,PROTEIN COMPLEX
P06493,CHEMBL3038468,PROTEIN COMPLEX
P06493,CHEMBL3559691,PROTEIN FAMILY
P06493,CHEMBL3885551,PROTEIN COMPLEX
P07332,CHEMBL5455,SINGLE PROTEIN
P07333,CHEMBL1844,SINGLE PROTEIN
P07947,CHEMBL2073,SINGLE PROTEIN
P07947,CHEMBL2363074,PROTEIN FAMILY
P07948,CHEMBL3905,SINGLE PROTEIN
P07948,CHEMBL2363074,PROTEIN FAMILY
P07949,CHEMBL3430877,CHIMERIC PROTEIN
P07949,CHEMBL3430888,CHIMERIC PROTEIN
P07949,CHEMBL3430904,CHIMERIC PROTEIN
P07949,CHEMBL2041,SINGLE PROTEIN
P08069,CHEMBL1957,SINGLE PROTEIN
P08581,CHEMBL3717,SINGLE PROTEIN
P08631,CHEMBL3234,SINGLE PROTEIN
P08631,CHEMBL2363074,PROTEIN FAMILY
P08922,CHEMBL5568,SINGLE PROTEIN
P09619,CHEMBL1913,SINGLE PROTEIN
P09619,CHEMBL2095189,PROTEIN COMPLEX
P09619,CHEMBL2111440,SELECTIVITY GROUP
P09769,CHEMBL4454,SINGLE PROTEIN
P09769,CHEMBL2363074,PROTEIN FAMILY
P0C1S8,CHEMBL5095,SINGLE PROTEIN
P0C264,CHEMBL5116,SINGLE PROTEIN
P10398,CHEMBL1169596,SINGLE PROTEIN
P10398,CHEMBL3559685,PROTEIN FAMILY
P10721,CHEMBL1936,SINGLE PROTEIN
P10721,CHEMBL2111428,SELECTIVITY GROUP
P11274,CHEMBL5146,SINGLE PROTEIN
P11274,CHEMBL2096618,CHIMERIC PROTEIN
P11274,CHEMBL4296119,PROTEIN-PROTEIN INTERACTION
P11274,CHEMBL4296120,PROTEIN-PROTEIN INTERACTION
P11274,CHEMBL4296137,PROTEIN-PROTEIN INTERACTION
P11309,CHEMBL2147,SINGLE PROTEIN
P11309,CHEMBL3430900,PROTEIN-PROTEIN INTERACTION
P11309,CHEMBL3559682,PROTEIN FAMILY
P11362,CHEMBL3650,SINGLE PROTEIN
P11362,CHEMBL2111439,PROTEIN FAMILY
P11362,CHEMBL2095217,PROTEIN FAMILY
P11802,CHEMBL331,SINGLE PROTEIN
P11802,CHEMBL2095942,PROTEIN COMPLEX
P11802,CHEMBL2111326,SELECTIVITY GROUP
P11802,CHEMBL1907601,PROTEIN COMPLEX
P11802,CHEMBL3301385,PROTEIN COMPLEX
P11802,CHEMBL3038472,PROTEIN COMPLEX
P11802,CHEMBL3559691,PROTEIN FAMILY
P11802,CHEMBL3038517,PROTEIN FAMILY
P11802,CHEMBL4106184,PROTEIN FAMILY
P11802,CHEMBL3885548,PROTEIN COMPLEX
P11802,CHEMBL3885553,PROTEIN FAMILY
P11802,CHEMBL3885554,PROTEIN COMPLEX
P12931,CHEMBL267,SINGLE PROTEIN
P12931,CHEMBL2111336,SELECTIVITY GROUP
P12931,CHEMBL2363074,PROTEIN FAMILY
P12931,CHEMBL3885535,PROTEIN-PROTEIN INTERACTION
P14616,CHEMBL5483,SINGLE PROTEIN
P15056,CHEMBL5145,SINGLE PROTEIN
P15056,CHEMBL3559685,PROTEIN FAMILY
P15056,CHEMBL4106189,PROTEIN COMPLEX
P15056,CHEMBL3883317,PROTEIN FAMILY
P15735,CHEMBL2349,SINGLE PROTEIN
P15735,CHEMBL2111324,PROTEIN COMPLEX GROUP
P16066,CHEMBL1988,SINGLE PROTEIN
P16066,CHEMBL2111337,PROTEIN FAMILY
P16234,CHEMBL2007,SINGLE PROTEIN
P16234,CHEMBL2095189,PROTEIN COMPLEX
P16591,CHEMBL3982,SINGLE PROTEIN
P17252,CHEMBL299,SINGLE PROTEIN
P17252,CHEMBL2093867,PROTEIN FAMILY
P17252,CHEMBL2096620,PROTEIN FAMILY
P17252,CHEMBL3137267,PROTEIN FAMILY
P17612,CHEMBL4101,SINGLE PROTEIN
P17612,CHEMBL2094138,PROTEIN FAMILY
P17948,CHEMBL1868,SINGLE PROTEIN
P17948,CHEMBL2095227,PROTEIN FAMILY
P17948,CHEMBL2111480,SELECTIVITY GROUP
P19525,CHEMBL5785,SINGLE PROTEIN
P19784,CHEMBL4070,SINGLE PROTEIN
P19784,CHEMBL2095191,PROTEIN COMPLEX GROUP
P19784,CHEMBL3832943,PROTEIN FAMILY
P19784,CHEMBL3883328,PROTEIN COMPLEX
P20594,CHEMBL2111337,PROTEIN FAMILY
P20794,CHEMBL1163106,SINGLE PROTEIN
P21127,CHEMBL5808,SINGLE PROTEIN
P21127,CHEMBL3559691,PROTEIN FAMILY
P21675,CHEMBL3217390,SINGLE PROTEIN
P21709,CHEMBL5810,SINGLE PROTEIN
