,UniprotID,Name,kinhub,klifs,pkinfam,reviewed_uniprot,dunbrack_msa
147,P17252,PRKCA|KPCA,True,True,True,True,True
148,P17540,KCRS,False,False,False,True,False
149,P17612,PRKACA|KAPCA,True,True,True,True,True
150,P17813,EGLN,False,False,False,True,False
151,P17858,PFKAL,False,False,False,True,False
152,P17948,VGFR1|FLT1,True,True,True,True,True
153,P19367,HXK1,False,False,False,True,False
154,P19525,E2AK2|EIF2AK2,True,True,True,True,True
155,P19784,CSK22|CSNK2A2,True,True,True,True,True
156,P20594,ANPRB|NPR2,True,True,True,True,True
157,P20794,MAK,True,True,True,True,True
158,P21108,PRPS3,False,False,False,True,False
159,P21127,CDK11B|CD11B,True,True,True,True,True
160,P21675,TAF1,True,True,False,True,False
161,P21709,EPHA1,True,True,True,True,True
162,P21802,FGFR2,True,True,True,True,True
163,P21860,ERBB3,True,True,True,True,True
164,P22392,NDKB,False,False,False,True,False
165,P22455,FGFR4,True,True,True,True,True
166,P22607,FGFR3,True,True,True,True,True
167,P22612,KAPCG|PRKACG,True,True,True,True,True
168,P22694,KAPCB|PRKACB,True,True,True,True,True
169,P23443,RPS6KB1|KS6B1,True,True,True,True,True
170,P23458,JAK1-b|JAK1,True,True,True,True,True
171,P23677,IP3KA,False,False,False,True,False
172,P23743,DGKA,False,False,False,True,False
173,P23919,KTHY,False,False,False,True,False
174,P24385,CCND1,False,False,False,True,False
175,P24723,KPCL|PRKCH,True,True,True,True,True
176,P24864,CCNE1,False,False,False,True,False
177,P24941,CDK2,True,True,True,True,True
178,P25092,GUC2C|GUCY2C,True,True,True,True,True
179,P25098,ARBK1|GRK2|ADRBK1,True,True,True,True,True
180,P25440,BRD2,True,True,False,False,False
181,P27037,AVR2A|ACVR2A,True,True,True,True,True
182,P27144,KAD4,False,False,False,True,False
183,P27361,MAPK3|MK03,True,True,True,True,True
184,P27448,MARK3,True,True,True,True,True
185,P27707,DCK,False,False,False,True,False
186,P27708,PYR1,False,False,False,True,False
187,P27987,IP3KB,False,False,False,True,False
188,P28482,MAPK1|MK01,True,True,True,True,True
189,P29317,EPHA2,True,True,True,True,True
190,P29320,EPHA3,True,True,True,True,True
191,P29322,EPHA8,True,True,True,True,True
192,P29323,EPHB2,True,True,True,True,True
193,P29376,LTK,True,True,True,True,True
194,P29597,TYK2|TYK2-b,True,True,True,True,True
195,P30085,KCY,False,False,False,True,False
196,P30281,CCND3,False,False,False,True,False
197,P30291,WEE1,True,True,True,True,True
198,P30530,AXL|UFO,True,True,True,True,True
199,P30613,KPYR,False,False,False,True,False
200,P31152,MK04|MAPK4,True,True,True,True,True
201,P31749,AKT1,True,True,True,True,True
202,P31751,AKT2,True,True,True,True,True
203,P32189,GLPK,False,False,False,True,False
204,P32298,GRK4,True,True,True,True,True
205,P33076,C2TA,False,False,False,True,False
206,P33981,TTK,True,True,True,True,True
207,P34925,RYK,True,True,True,True,True
208,P34947,GRK5,True,True,True,True,True
209,P35557,HXK4|GCK,False,True,False,True,False
210,P35590,TIE1,True,True,True,True,True
211,P35626,ARBK2|ADRBK2|GRK3,True,True,True,True,True
212,P35790,CHKA,False,False,False,True,False
213,P35916,VGFR3|FLT4,True,True,True,True,True
214,P35968,KDR|VGFR2,True,True,True,True,True
215,P36507,MAP2K2|MP2K2,True,True,True,True,True
216,P36888,FLT3,True,True,True,True,True
217,P36894,BMR1A|BMPR1A,True,True,True,True,True
218,P36896,ACVR1B|ACV1B,True,True,True,True,True
219,P36897,TGFBR1|TGFR1,True,True,True,True,True
220,P37023,ACVRL1|ACVL1,True,True,True,True,True
221,P37173,TGFBR2|TGFR2,True,True,True,True,True
222,P38936,CDN1A,False,False,False,True,False
223,P41240,CSK,True,True,True,True,True
224,P41279,MAP3K8|M3K8,True,True,True,True,True
225,P41743,PRKCI|KPCI,True,True,True,True,True
226,P42336,PIK3CA|PK3CA,False,True,True,True,False
227,P42338,PK3CB|PIK3CB,False,True,True,True,False
228,P42345,MTOR,True,True,True,True,False
229,P42356,PI4KA,False,True,False,True,False
230,P42679,MATK,True,True,True,True,True
231,P42680,TEC,True,True,True,True,True
232,P42681,TXK,True,True,True,True,True
233,P42684,ABL2,True,True,True,True,True
234,P42685,FRK,True,True,True,True,True
235,P43250,GRK6,True,True,True,True,True
236,P43403,ZAP70,True,True,True,True,True
237,P43405,KSYK|SYK,True,True,True,True,True
238,P45983,MAPK8|MK08,True,True,True,True,True
239,P45984,MAPK9|MK09,True,True,True,True,True
240,P45985,MP2K4|MAP2K4,True,True,True,True,True
241,P46019,KPB2,False,False,False,True,False
242,P46020,KPB1,False,False,False,True,False
243,P46734,MAP2K3|MP2K3,True,True,True,True,True
244,P48426,PIP4K2A|PI42A,False,True,False,True,False
245,P48729,CSNK1A1|KC1A,True,True,True,True,True
246,P48730,CSNK1D|KC1D,True,True,True,True,True
247,P48736,PK3CG|PIK3CG,False,True,True,True,False
248,P49137,MAPK2|MAPKAPK2,True,True,True,True,True
249,P49336,CDK8,True,True,True,True,True
250,P49619,DGKG,False,False,False,True,False
251,P49674,KC1E|CSNK1E,True,True,True,True,True
252,P49759,CLK1,True,True,True,True,True
253,P49760,CLK2,True,True,True,True,True
254,P49761,CLK3,True,True,True,True,True
255,P49840,GSK3A,True,True,True,True,True
256,P49841,GSK3B,True,True,True,True,True
257,P49842,STK19,True,True,False,True,False
258,P49903,SPS1,False,False,False,True,False
259,P50053,KHK,False,False,False,True,False
260,P50613,CDK7,True,True,True,True,True
261,P50749,RASF2,False,False,False,True,False
262,P50750,CDK9,True,True,True,True,True
263,P51451,BLK,True,True,True,True,True
264,P51570,GALK1,False,False,False,True,False
265,P51617,IRAK1,True,True,True,True,True
266,P51812,RPS6KA3-b|KS6A3|RPS6KA3,True,True,True,True,True
267,P51813,BMX,True,True,True,True,True
268,P51817,PRKX,True,True,True,True,True
269,P51841,GUC2F|GUCY2F,True,True,True,True,True
270,P51955,NEK2,True,True,True,True,True
271,P51956,NEK3,True,True,True,True,True
272,P51957,NEK4,True,True,True,True,True
273,P52333,JAK3-b|JAK3,True,True,True,True,True
274,P52429,DGKE,False,False,False,True,False
275,P52564,MAP2K6|MP2K6,True,True,True,True,True
276,P52789,HXK2,False,False,False,True,False
277,P52790,HXK3,False,False,False,True,False
278,P52797,EFNA3,False,False,False,True,False
279,P52798,EFNA4,False,False,False,True,False
280,P52824,DGKQ,False,False,False,True,False
281,P53004,BLVRA,True,False,False,False,False
282,P53350,PLK1,True,True,True,True,True
283,P53355,DAPK1,True,True,True,True,True
284,P53597,SUCA,False,False,False,True,False
285,P53667,LIMK1,True,True,True,True,True
286,P53671,LIMK2,True,True,True,True,True
287,P53778,MAPK12|MK12,True,True,True,True,True
288,P53779,MAPK10|MK10,True,True,True,True,True
289,P54619,AAKG1,False,False,False,True,False
290,P54646,AAPK2|PRKAA2,True,True,True,True,True
291,P54753,EPHB3,True,True,True,True,True
292,P54756,EPHA5,True,True,True,True,True
293,P54760,EPHB4,True,True,True,True,True
294,P54762,EPHB1,True,True,True,True,True
295,P54764,EPHA4,True,True,True,True,True
296,P54819,KAD2,False,False,False,True,False
297,P54886,P5CS,False,False,False,True,False
298,P55263,ADK,False,False,False,True,False
299,P56597,NDK5,False,False,False,True,False
300,P57058,HUNK,True,True,True,True,True
301,P57059,SIK1,True,True,True,True,True
302,P57078,RIPK4,True,True,True,True,True
303,P60891,PRPS1,False,False,False,True,False
304,P67870,CSK2B,False,False,False,True,False
305,P68400,CSNK2A1|CSK21,True,True,True,True,True
306,P78356,PI42B|PIP4K2B,False,True,False,True,False
307,P78362,SRPK2,True,True,True,True,True
308,P78368,CSNK1G2|KC1G2,True,True,True,True,True
309,P78527,PRKDC,True,False,True,True,False
310,P80075,CCL8,False,False,False,True,False
311,P80192,M3K9|MAP3K9,True,True,True,True,True
312,Q00013,EM55,False,False,False,True,False
313,Q00526,CDK3,True,True,True,True,True
314,Q00532,CDKL1,True,True,True,True,True
315,Q00534,CDK6,True,True,True,True,True
316,Q00535,CDK5,True,True,True,True,True
317,Q00536,CDK16,True,True,True,True,True
318,Q00537,CDK17,True,True,True,True,True
319,Q01415,GALK2,False,False,False,True,False
320,Q01813,PFKAP,False,False,False,True,False
321,Q01973,ROR1,True,True,True,True,True
322,Q01974,ROR2,True,True,True,True,True
323,Q02156,KPCE|PRKCE,True,True,True,True,True
324,Q02750,MAP2K1|MP2K1,True,True,True,True,True
325,Q02763,TEK|TIE2,True,True,True,True,True
326,Q02779,M3K10|MAP3K10,True,True,True,True,True
327,Q02846,GUCY2D|GUC2D,True,True,True,True,True
328,Q03167,TGBR3,False,False,False,True,False
329,Q03426,KIME,False,False,False,True,False
330,Q04759,PRKCQ|KPCT,True,True,True,True,True
331,Q04771,ACVR1,True,True,True,True,True
332,Q04912,RON|MST1R,True,True,True,True,True
333,Q05397,PTK2|FAK1,True,True,True,True,True
334,Q05513,KPCZ|PRKCZ,True,True,True,True,True
335,Q05655,KPCD|PRKCD,True,True,True,True,True
336,Q05823,RNASEL|RN5A,True,True,True,True,True
337,Q06187,BTK,True,True,True,True,True
338,Q06418,TYRO3,True,True,True,True,True
339,Q07002,CDK18,True,True,True,True,True
340,Q07912,TNK2|ACK1,True,True,True,True,True
341,Q08345,DDR1,True,True,True,True,True
342,Q08881,ITK,True,True,True,True,True
343,Q09013,DMPK,True,True,True,True,True
344,Q12802,AKP13,False,False,False,True,False
