UniprotID,Name,chembl_targets,type,origin
P29322,EPHA8,CHEMBL4134,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29323,EPHB2,CHEMBL3290,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29376,LTK,CHEMBL5627,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29597,TYK2-b|TYK2,CHEMBL3553,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P30291,WEE1,CHEMBL5491,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P30530,UFO|AXL,CHEMBL4895,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P31152,MAPK4|MK04,CHEMBL5759,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P31749,AKT1,CHEMBL4282,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P31751,AKT2,CHEMBL2431,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P32298,GRK4,CHEMBL5861,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P33981,TTK,CHEMBL3983,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P34947,GRK5,CHEMBL5678,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35557,GCK,CHEMBL3820,SINGLE PROTEIN,klifs
P35590,TIE1,CHEMBL5274,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35626,GRK3|ARBK2|ADRBK2,CHEMBL1075166,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35916,FLT4|VGFR3,CHEMBL1955,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35968,KDR|VGFR2,CHEMBL279,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36507,MAP2K2|MP2K2,CHEMBL2964,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36888,FLT3,CHEMBL1974,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36894,BMR1A|BMPR1A,CHEMBL5275,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36896,ACVR1B|ACV1B,CHEMBL5310,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36897,TGFBR1|TGFR1,CHEMBL4439,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P37023,ACVL1|ACVRL1,CHEMBL5311,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P37173,TGFBR2|TGFR2,CHEMBL4267,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P41240,CSK,CHEMBL2634,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P41279,MAP3K8|M3K8,CHEMBL4899,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P41743,KPCI|PRKCI,CHEMBL2598,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42336,PIK3CA,CHEMBL4005,SINGLE PROTEIN,klifs|pkinfam
P42338,PIK3CB,CHEMBL3145,SINGLE PROTEIN,klifs|pkinfam
P42345,MTOR,CHEMBL2842,SINGLE PROTEIN,kinhub|klifs|pkinfam
P42356,PI4KA,CHEMBL3667,SINGLE PROTEIN,klifs
P42679,MATK,CHEMBL4175,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42680,TEC,CHEMBL4246,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42681,TXK,CHEMBL4367,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42684,ABL2,CHEMBL4014,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42685,FRK,CHEMBL4223,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P43250,GRK6,CHEMBL6144,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P43403,ZAP70,CHEMBL2803,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P43405,KSYK|SYK,CHEMBL2599,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P45983,MAPK8|MK08,CHEMBL2276,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P45984,MK09|MAPK9,CHEMBL4179,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P45985,MP2K4|MAP2K4,CHEMBL2897,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P46734,MP2K3|MAP2K3,CHEMBL2109,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P48426,PIP4K2A,CHEMBL1795194,SINGLE PROTEIN,klifs
P48729,KC1A|CSNK1A1,CHEMBL2793,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P48730,KC1D|CSNK1D,CHEMBL2828,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P48736,PIK3CG,CHEMBL3267,SINGLE PROTEIN,klifs|pkinfam
P49137,MAPK2|MAPKAPK2,CHEMBL2208,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49336,CDK8,CHEMBL5719,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49674,CSNK1E|KC1E,CHEMBL4937,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49759,CLK1,CHEMBL4224,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49760,CLK2,CHEMBL4225,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49761,CLK3,CHEMBL4226,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49840,GSK3A,CHEMBL2850,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49841,GSK3B,CHEMBL262,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P49842,STK19,CHEMBL4879437,SINGLE PROTEIN,kinhub|klifs
P50613,CDK7,CHEMBL3055,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P50750,CDK9,CHEMBL3116,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51451,BLK,CHEMBL2250,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51617,IRAK1,CHEMBL3357,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51812,RPS6KA3|KS6A3|RPS6KA3-b,CHEMBL2345,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51813,BMX,CHEMBL3834,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51817,PRKX,CHEMBL5818,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51955,NEK2,CHEMBL3835,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51956,NEK3,CHEMBL5679,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P51957,NEK4,CHEMBL5819,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P52333,JAK3-b|JAK3,CHEMBL2148,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P52564,MP2K6|MAP2K6,CHEMBL2171,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P53350,PLK1,CHEMBL3024,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P53355,DAPK1,CHEMBL2558,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P53667,LIMK1,CHEMBL3836,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P53671,LIMK2,CHEMBL5932,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P53778,MK12|MAPK12,CHEMBL4674,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P53779,MAPK10|MK10,CHEMBL2637,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P54646,AAPK2|PRKAA2,CHEMBL2116,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P54753,EPHB3,CHEMBL4901,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P54756,EPHA5,CHEMBL3987,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P54760,EPHB4,CHEMBL5147,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P54762,EPHB1,CHEMBL5072,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P54764,EPHA4,CHEMBL3988,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P57058,HUNK,CHEMBL1795165,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P57059,SIK1,CHEMBL6082,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P57078,RIPK4,CHEMBL6083,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P68400,CSK21|CSNK2A1,CHEMBL3629,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P78356,PIP4K2B,CHEMBL5667,SINGLE PROTEIN,klifs
P78362,SRPK2,CHEMBL5668,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P78368,KC1G2|CSNK1G2,CHEMBL2543,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P78527,PRKDC,CHEMBL3142,SINGLE PROTEIN,kinhub|pkinfam
